X,Y,FID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,LONGITUDE,LATITUDE,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STA_NO,UID_,EXTRDATE,VISN,PROV,CONT,PAR_STA_NO,POD,OPER_DATE,SH_PAR_STA,CBOC,RRTP,IOC,MOC,VAMC,VCTR,HBOC,VANH,CD115,PRIM_SVC,ULID,CBSA,UA,URH,UNIQUE_ID,STA_FAX,SHAR,PHONE
-8572740.703,4711546.596,1,WASHINGTON DISTRICT OF COLUMBIA VETERANS AFFAIRS MEDICAL CENTER,50 IRVING STREET NW,NOT AVAILABLE,WASHINGTON,DC,20422,1,DISTRICT OF COLUMBIA,11001,ON THE SOUTH SIDE OF IRVING STREET NW 10 MILES EAST OF THE 1ST STREET NW AND IRVING STREET NW T-INTERSECTION,9/24/2007 0:00,PHONE,9/24/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,18464502,-77.01024,38.92928,NAVTEQ,2006Q4,ONENTITY,YES,TGS,688,155,3/31/2007 0:00,5,1,V,N/A,A,5/1/1965 0:00,N/A,0,NO,NO,NO,YES,NO,YES,YES,CD115_DC_1198,VAMC,NW0077010347_0038930963,47900,92242,UA,10315923,(202) 745-8530,NO,(202) 745-8000
-8570784.786,4697273.524,2,SE WASHINGTON COMMUNITY-BASED OUTPATIENT CLINIC,820 CHESAPEAKE STREET SE,SE VETERANS SERVICE CENTER,WASHINGTON,DC,20032,N/A,DISTRICT OF COLUMBIA,11001,LOCATED ON THE NORTH SIDE OF CHESAPEAKE STREET SE 09 MILES WEST OF SOUTHERN AVENUE SE,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,18405596,-76.9926697,38.8294669,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,688GB,850,3/31/2007 0:00,5,1,L,688,A,3/15/2000 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_DC_1198,CBOC,NW0076993847_0038829337,47900,92242,UA,10314977,(202) 561-8776,NO,(202) 745-8685
-8416455.93,4828242.991,3,WILMINGTON VETERANS AFFAIRS MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,NOT AVAILABLE,WILMINGTON,DE,19805,4917,NEW CASTLE,10003,ON THE NORTH SIDE OF KIRKWOOD HIGHWAY BETWEEN FOREST AVENUE AND HAZEL AVENUE,9/24/2007 0:00,PHONE,9/24/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,19439266,-75.60631,39.74008,NAVTEQ,2006Q4,ONENTITY,YES,TGS,460,97,3/31/2007 0:00,4,1,V,N/A,A,4/2/1950 0:00,N/A,0,NO,NO,NO,YES,NO,YES,YES,CD115_DE_1000,VAMC,NW0075607114_0039738702,37980,69076,UA,10314930,(302) 633-5516,NO,(302) 994-2511
-8416455.93,4828242.991,4,READJUSTMENT COUNSELING CENTER,1601 KIRKWOOD HIGHWAY,VETERNS AFFAIRS MEDICAL CENTER BUILDING 3,WILMINGTON,DE,19805,4917,NEW CASTLE,10003,ON THE NORTH SIDE OF KIRKWOOD HIGHWAY BETWEEN FOREST AVENUE AND HAZEL AVENUE,9/24/2007 0:00,PHONE,9/24/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,19439266,-75.60631,39.74008,NAVTEQ,2006Q4,ONENTITY,YES,TGS,0215V,783,3/31/2007 0:00,4,1,L,460,-,,N/A,0,NO,NO,NO,NO,YES,NO,NO,CD115_DE_1000,VCTR,NW0075605361_0039738516,37980,69076,UA,10315097,(302) 633-5250,NO,(302) 994-1660
-7938791.22,5254173.604,5,LOWELL VETERANS COMMUNITY CARE CENTER,130 MARSHALL ROAD,LOWELL CLINIC,LOWELL,MA,1852,5130,MIDDLESEX,25017,LOCATED ON THE SE SIDE OF MARSHALL ROAD09 MILES SOUTH OF CUNNINGHAM STREET AND MARSHALL ROAD T INTERSECTIONENTITY LOCATED AT THE DEAD END OF MARSHALL ROAD,9/26/2007 0:00,PHONE,9/26/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,22210835,-71.3153749,42.6191005,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,518GD,1099,3/31/2007 0:00,1,1,L,518,A,10/1/1990 0:00,523BY,1,NO,NO,NO,NO,NO,NO,NO,CD115_MA_2503,CBOC,NW0071314612_0042621037,14460,9271,UA,10315336,(978) 671-9149,YES,(978) 671-9115
-8395505.513,5344412.118,6,DONALD J MITCHELL VETERANS AFFAIRS COMMUNITY BASED OUTPATIENT CLINIC-DEPARTMENT OF DEFENSE (DOD),125 BROOKLEY ROAD,BUILDING 510,ROME,NY,13441,4301,ONEIDA,36065,"SOUTH SIDE OF BROOKLEY ROAD, 29 MILES WEST OF HILL ROAD",9/26/2007 0:00,PHONE,9/26/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,108705125,-75.4181092,43.2127584,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,528GM,62,3/31/2007 0:00,2,1,V,528,A,7/1/1995 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_NY_3622,CBOC,NW0075418264_0043213146,46540,76231,RA,10315385,(315) 334-7100,NO,(315) 334-7100
-8674458.097,4055638.252,7,VETERANS CLINIC OF WILMINGTON,1606 PHYSICIANS DRIVE,SUITE 104,WILMINGTON,NC,28401,7348,NEW HANOVER,37129,LOCATED ON THE SE SIDE OF PHYSICIANS DRIVE 02 MILES SOUTH OF CANTERWOOD DRIVE,9/24/2007 0:00,PHONE,9/24/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,127874678,-77.9239829,34.199624,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,565GC,793,3/31/2007 0:00,6,1,C,565,A,7/13/2001 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_NC_3707,CBOC,NW0077880425_0034227832,48900,95833,UA,10315525,(910) 362-8881,NO,(910) 362-8811
-8325772.757,4903181.403,8,TRENTON VETERANS CENTER,934 PARKWAY AVENUE,SUITE 201,EWING,NJ,8618,2308,MERCER,34021,LOCATED ABOUT 06 MILES NE OF PARKWAY AVENUE ON THE SE SIDE OF FARRELL AVENUE,9/26/2007 0:00,PHONE,9/26/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,18800933,-74.7916892,40.2557797,NAVTEQ,2006Q4,ONENTITY,YES,TGS,0114V,748,3/31/2007 0:00,3,1,L,561,-,,N/A,0,NO,NO,NO,NO,YES,NO,NO,CD115_NJ_3412,VCTR,NW0074751144_0040202355,45940,88462,UA,10315068,(609) 989-2265,NO,(609) 882-5744
-12356212.25,3744138.236,9,GREEN VALLEY VETERANS CLINIC,380 WEST VISTA HERMOSA DRIVE,SUITE 140,GREEN VALLEY,AZ,85614,1901,PIMA,4019,SOUTHSIDE OF WEST VISTA HERMOSA DRIVE BETWEEN SOUTH LA CANADA DRIVE AND SOUTH VIA ARCO IRIS,9/21/2007 0:00,PHONE,9/21/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,40862538,-110.9977432,31.8538257,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,678GE,859,3/31/2007 0:00,18,1,L,678,A,7/10/2000 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_AZ_0402,CBOC,NW0110997559_0031854761,46060,35245,RA,10315920,(520) 399-1080,NO,(520) 399-2291
-9577055.865,4023792.459,10,GADSDEN VETERANS AFFAIRS COMMUNITY-BASED OUTPATIENT CLINIC,206 RESCIA AVENUE,NOT AVAILABLE,RAINBOW CITY,AL,35906,5933,ETOWAH,1055,"SOUTH SIDE OF RESCIA AVENUE, 03 MILES WEST OF 2ND STREET",9/21/2007 0:00,PHONE,9/21/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,105040148,-86.0321566,33.9626837,NAVTEQ,2006Q4,ONENTITY,YES,TGS,521GD,197,3/31/2007 0:00,7,1,L,521,A,4/1/1997 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_AL_0104,CBOC,NW0086031884_0033963437,23460,32113,UA,10315353,(256) 413-7813,NO,(256) 413-7154
