VISN,Medical Center,Relative Performance,Improvement From 2017,,
22,ALBUQUERQUE VETERANS CENTER,2, improve,,
10,ALEDA E LUTZ VETERANS AFFAIRS MEDICAL CENTER,5,greatly improve,,
16,ALEXANDRIA VETERANS AFFAIRS MEDICAL CENTER,2,stayed,,
17,AMARILLO VETERANS AFFAIRS HEALTH CARE SYSTEM,4,greatly improve,,
6,ASHEVILLE - OTEEN,5,greatly improve,,
7,ATLANTA VETERANS AFFAIRS MEDICAL CENTER,1,stayed,,
7,AUGUSTA VETERANS AFFAIRS MEDICAL CENTER - DOWNTOWN,2,stayed,,
2,BATH VETERANS AFFAIRS MEDICAL CENTER,5,improve,,
10,BATTLE CREEK VETERANS MEDICAL CENTER-DEPARTMENT OF DEFENSE (DOD),2,greatly improve,,
8,BAY PINES VETERAN AFFAIRS HEALTHCARE SYSTEM,3,stayed,,
5,BECKLEY VETERANS AFFAIRS HOSPITAL,2,stayed,,
7,BIRMINGHAM VETERANS AFFAIRS MEDICAL CENTER,4,improve,,
20,BOISE VETERANS AFFAIRS MEDICAL CENTER,3,stayed,,
1,BROCKTON VETERANS AFFAIRS MEDICAL CENTER,4,stayed,,
2,BROOKLYNS VETERANS HOSPITAL NEW YORK HARBOR HEALTH CARE SYSTEM-DEPARTMENT OF DEFENSE (DOD),3,improve,,
4,BUTLER VETERANS AFFAIRS MEDICAL CENTER,5,declined,,
2,CANANDAIGUA VETERANS AFFAIRS MEDICAL CENTER,4,greatly improve,,
22,CARL T HAYDEN VETERANS AFFAIRS MEDICAL CENTER,1,stayed,,
7,CARL VINSON VETERANS AFFAIRS MEDICAL CENTER,3,greatly improve,,
7,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM,1,stayed,,
16,CENTRAL ARKANSAS VETERANS HEALTH CARE SYSTEM - LITTLE ROCK,3,greatly improve,,
19,CHEYENNE VETERAN AFFAIRS OUTPATIENT CLINIC,2,stayed,,
10,CHILLICOTHE VETERANS AFFAIRS MEDICAL CENTER,4,stayed,,
10,CINCINNATI VETERANS AFFAIRS MEDICAL CENTER,5,improve,,
12,CLEMENT J ZABLOCKI VETERANS AFFAIRS MEDICAL CENTER,3,stayed,,
4,COATESVILLE VETERANS AFFAIRS MEDICAL CENTER,5,stayed,,
7,COLUMBIA SOUTH CAROLINA,2,improve,,
10,COLUMBUS VETERANS CENTER,4,improve,,
17,DALLAS VETERANS AFFAIRS MEDICAL CENTER,2,improve ,,
10,DAYTON VETERANS AFFAIRS MEDICAL CENTER,3,stayed,,
1,DEPARTMENT OF VETERANS AFFAIRS PROVIDENCE MEDICAL CENTER,3,stayed,,
6,DURHAM VETERANS AFFAIRS MEDICAL CENTER,3,improve,,
15,DWIGHT D EISENHOWER VETERANS AFFAIRS MEDICAL CENTER,4,improve,,
19,EASTERN COLORADO HEALTH CARE SYSTEM VETERANS AFFAIRS MEDICAL CENTER,2,improve,,
1,EDITH NOURSE ROGERS MEMORIAL VETERANS ADMINISTRATION HOSPITAL,5,stayed,,
12,EDWARD HINES JUNIOR VETERANS AFFAIRS HOSPITAL,3,improve,,
17,EL PASO HEALTH CARE SYSTEM VETERANS AFFAIRS MEDICAL CENTER-DEPARTMENT OF DEFENSE (DOD),1,greatly improve,,
4,ERIE VETERANS AFFAIRS MEDICAL CENTER,5,improve,,
23,FARGO VETERAN ADMINISTRATION MEDICAL CENTER,4,improve,,
16,FAYETTEVILLE ARKANSAS,3,stayed,,
6,FAYETTEVILLE NORTH CAROLINA,2,stayed,,
